Track Name,Artist Name,Album Name,Added By,Added At
"Shape of You","Ed Sheeran","÷ (Divide)","user1","2024-01-15"
"Blinding Lights","The Weeknd","After Hours","user1","2024-01-16"
"drivers license","Olivia Rodrigo","SOUR","user1","2024-01-17"
"Stay","The Kid LAROI","F*CK LOVE 3: OVER YOU","user1","2024-01-18"
"Good 4 U","Olivia Rodrigo","SOUR","user1","2024-01-19"
"Levitating","Dua Lipa","Future Nostalgia","user1","2024-01-20"
"Peaches","Justin Bieber","Justice","user1","2024-01-21"
"Kiss Me More","Doja Cat","Planet Her","user1","2024-01-22"
"Montero","Lil Nas X","MONTERO","user1","2024-01-23"
"Save Your Tears","The Weeknd","After Hours","user1","2024-01-24"
"Deja Vu","Olivia Rodrigo","SOUR","user1","2024-01-25"
"Don't Play","The Kid LAROI","F*CK LOVE 3: OVER YOU","user1","2024-01-26"
"Bad Habits","Ed Sheeran","= (Equals)","user1","2024-01-27"
"Easy On Me","Adele","30","user1","2024-01-28"
"Heat Waves","Glass Animals","Dreamland","user1","2024-01-29"
"Therefore I Am","Billie Eilish","Don't Smile at Me","user1","2024-01-30"
"Mood","24kGoldn","El Dorado","user1","2024-01-31"
"Positions","Ariana Romeo","Positions","user1","2024-02-01"
"Happier Than Ever","Billie Eilish","Happier Than Ever","user1","2024-02-02"
"Shivers","Ed Sheeran","= (Equals)","user1","2024-02-03"

